.i 8
.o 1
.ilb A B C D E F G H
.ob F
0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 1 1
0 0 0 0 0 0 1 0 1
0 0 0 0 0 0 1 1 1
0 0 0 0 0 1 0 0 1
0 0 0 0 0 1 0 1 1
0 0 0 0 0 1 1 0 1
0 0 0 0 0 1 1 1 1
0 0 0 0 1 0 0 0 1
0 0 0 0 1 0 0 1 1
0 0 0 0 1 0 1 0 1
0 0 0 0 1 0 1 1 1
0 0 0 0 1 1 0 0 1
0 0 0 0 1 1 0 1 1
0 0 0 0 1 1 1 0 1
0 0 0 0 1 1 1 1 1
0 0 0 1 0 0 0 0 1
0 0 0 1 0 0 0 1 1
0 0 0 1 0 0 1 0 1
0 0 0 1 0 0 1 1 1
0 0 0 1 0 1 0 0 1
0 0 0 1 0 1 0 1 1
0 0 0 1 0 1 1 0 1
0 0 0 1 0 1 1 1 1
0 0 0 1 1 0 0 0 1
0 0 0 1 1 0 0 1 1
0 0 0 1 1 0 1 0 1
0 0 0 1 1 0 1 1 1
0 0 0 1 1 1 0 0 1
0 0 0 1 1 1 0 1 1
0 0 0 1 1 1 1 0 1
0 0 0 1 1 1 1 1 1
0 0 1 0 0 0 0 0 1
0 0 1 0 0 0 0 1 0
0 0 1 0 0 0 1 0 0
0 0 1 0 0 0 1 1 0
0 0 1 0 0 1 0 0 0
0 0 1 0 0 1 0 1 0
0 0 1 0 0 1 1 0 0
0 0 1 0 0 1 1 1 0
0 0 1 0 1 0 0 0 0
0 0 1 0 1 0 0 1 0
0 0 1 0 1 0 1 0 0
0 0 1 0 1 0 1 1 0
0 0 1 0 1 1 0 0 0
0 0 1 0 1 1 0 1 0
0 0 1 0 1 1 1 0 0
0 0 1 0 1 1 1 1 0
0 0 1 1 0 0 0 0 0
0 0 1 1 0 0 0 1 0
0 0 1 1 0 0 1 0 0
0 0 1 1 0 0 1 1 0
0 0 1 1 0 1 0 0 0
0 0 1 1 0 1 0 1 0
0 0 1 1 0 1 1 0 0
0 0 1 1 0 1 1 1 0
0 0 1 1 1 0 0 0 0
0 0 1 1 1 0 0 1 0
0 0 1 1 1 0 1 0 0
0 0 1 1 1 0 1 1 0
0 0 1 1 1 1 0 0 0
0 0 1 1 1 1 0 1 0
0 0 1 1 1 1 1 0 0
0 0 1 1 1 1 1 1 0
0 1 0 0 0 0 0 0 0
0 1 0 0 0 0 0 1 1
0 1 0 0 0 0 1 0 1
0 1 0 0 0 0 1 1 1
0 1 0 0 0 1 0 0 1
0 1 0 0 0 1 0 1 1
0 1 0 0 0 1 1 0 1
0 1 0 0 0 1 1 1 1
0 1 0 0 1 0 0 0 1
0 1 0 0 1 0 0 1 1
0 1 0 0 1 0 1 0 1
0 1 0 0 1 0 1 1 1
0 1 0 0 1 1 0 0 1
0 1 0 0 1 1 0 1 1
0 1 0 0 1 1 1 0 1
0 1 0 0 1 1 1 1 1
0 1 0 1 0 0 0 0 1
0 1 0 1 0 0 0 1 1
0 1 0 1 0 0 1 0 1
0 1 0 1 0 0 1 1 1
0 1 0 1 0 1 0 0 1
0 1 0 1 0 1 0 1 1
0 1 0 1 0 1 1 0 1
0 1 0 1 0 1 1 1 1
0 1 0 1 1 0 0 0 1
0 1 0 1 1 0 0 1 1
0 1 0 1 1 0 1 0 1
0 1 0 1 1 0 1 1 1
0 1 0 1 1 1 0 0 1
0 1 0 1 1 1 0 1 1
0 1 0 1 1 1 1 0 1
0 1 0 1 1 1 1 1 1
0 1 1 0 0 0 0 0 1
0 1 1 0 0 0 0 1 1
0 1 1 0 0 0 1 0 1
0 1 1 0 0 0 1 1 1
0 1 1 0 0 1 0 0 1
0 1 1 0 0 1 0 1 1
0 1 1 0 0 1 1 0 1
0 1 1 0 0 1 1 1 1
0 1 1 0 1 0 0 0 1
0 1 1 0 1 0 0 1 1
0 1 1 0 1 0 1 0 1
0 1 1 0 1 0 1 1 1
0 1 1 0 1 1 0 0 1
0 1 1 0 1 1 0 1 1
0 1 1 0 1 1 1 0 1
0 1 1 0 1 1 1 1 1
0 1 1 1 0 0 0 0 1
0 1 1 1 0 0 0 1 1
0 1 1 1 0 0 1 0 1
0 1 1 1 0 0 1 1 1
0 1 1 1 0 1 0 0 1
0 1 1 1 0 1 0 1 1
0 1 1 1 0 1 1 0 1
0 1 1 1 0 1 1 1 1
0 1 1 1 1 0 0 0 1
0 1 1 1 1 0 0 1 1
0 1 1 1 1 0 1 0 1
0 1 1 1 1 0 1 1 1
0 1 1 1 1 1 0 0 1
0 1 1 1 1 1 0 1 1
0 1 1 1 1 1 1 0 1
0 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 1 -
1 0 0 0 0 0 1 0 -
1 0 0 0 0 0 1 1 -
1 0 0 0 0 1 0 0 -
1 0 0 0 0 1 0 1 -
1 0 0 0 0 1 1 0 -
1 0 0 0 0 1 1 1 -
1 0 0 0 1 0 0 0 -
1 0 0 0 1 0 0 1 -
1 0 0 0 1 0 1 0 -
1 0 0 0 1 0 1 1 -
1 0 0 0 1 1 0 0 -
1 0 0 0 1 1 0 1 -
1 0 0 0 1 1 1 0 -
1 0 0 0 1 1 1 1 -
1 0 0 1 0 0 0 0 -
1 0 0 1 0 0 0 1 -
1 0 0 1 0 0 1 0 -
1 0 0 1 0 0 1 1 -
1 0 0 1 0 1 0 0 -
1 0 0 1 0 1 0 1 -
1 0 0 1 0 1 1 0 -
1 0 0 1 0 1 1 1 -
1 0 0 1 1 0 0 0 -
1 0 0 1 1 0 0 1 -
1 0 0 1 1 0 1 0 -
1 0 0 1 1 0 1 1 -
1 0 0 1 1 1 0 0 -
1 0 0 1 1 1 0 1 -
1 0 0 1 1 1 1 0 -
1 0 0 1 1 1 1 1 -
1 0 1 0 0 0 0 0 -
1 0 1 0 0 0 0 1 -
1 0 1 0 0 0 1 0 -
1 0 1 0 0 0 1 1 -
1 0 1 0 0 1 0 0 -
1 0 1 0 0 1 0 1 -
1 0 1 0 0 1 1 0 -
1 0 1 0 0 1 1 1 -
1 0 1 0 1 0 0 0 -
1 0 1 0 1 0 0 1 -
1 0 1 0 1 0 1 0 -
1 0 1 0 1 0 1 1 -
1 0 1 0 1 1 0 0 -
1 0 1 0 1 1 0 1 -
1 0 1 0 1 1 1 0 -
1 0 1 0 1 1 1 1 -
1 0 1 1 0 0 0 0 -
1 0 1 1 0 0 0 1 -
1 0 1 1 0 0 1 0 -
1 0 1 1 0 0 1 1 -
1 0 1 1 0 1 0 0 -
1 0 1 1 0 1 0 1 -
1 0 1 1 0 1 1 0 -
1 0 1 1 0 1 1 1 -
1 0 1 1 1 0 0 0 -
1 0 1 1 1 0 0 1 -
1 0 1 1 1 0 1 0 -
1 0 1 1 1 0 1 1 -
1 0 1 1 1 1 0 0 -
1 0 1 1 1 1 0 1 -
1 0 1 1 1 1 1 0 -
1 0 1 1 1 1 1 1 -
1 1 0 0 0 0 0 0 -
1 1 0 0 0 0 0 1 -
1 1 0 0 0 0 1 0 -
1 1 0 0 0 0 1 1 -
1 1 0 0 0 1 0 0 -
1 1 0 0 0 1 0 1 -
1 1 0 0 0 1 1 0 -
