input_pTac,46.98147443,0.087981874,0.230090577,1.853500808
input_pTet,87.86284152,0.100563107,0.947703295,5.259695866
input_pBAD,36.05198561,0.221492137,0.141653468,4.904993274
inputpLuxStar,6.7476148,0.145391945,0.061948129,1.212136301
S4_SrpR,38.82552374,0.077366329,0.520765834,2.982880795
P3_PhlF,89.05556796,0.077366329,1.728812861,4.621529284
P3_BM3R1,9.147585652,0.071782731,1.961110615,3.526559653
A1_AmtR,38.11618095,0.607391202,0.325200887,1.709304862
H1_HlyIIR,17.11499628,0.090798468,0.752096797,2.199927148
Q2_QacR,29.79521838,0.212243144,1.533476321,2.601806786
I1_IcaRA,21.87418741,0.716266207,0.875700477,1.409594639
E1_BetI,40.93476053,0.247402141,1.607404392,2.407617201
F1_AmeR,28.52949449,0.566372373,0.375159592,1.235329248
