name,ymax,ymin,K,n,equation
js2_PhlF,28.85427545,0.080108347,0.977191433,4.171308584,ymin+(ymax-ymin)/(1.0+(x/K)^n)
js2_SrpR,14.52805309,0.074092292,0.34917443,2.565844601,ymin+(ymax-ymin)/(1.0+(x/K)^n)
js2_BM3R1,3.468985944,0.058479144,1.10248907,3.385747577,ymin+(ymax-ymin)/(1.0+(x/K)^n)
js2_AmtR,16.02102366,0.254267595,0.285832211,1.610221897,ymin+(ymax-ymin)/(1.0+(x/K)^n)
js2_HlyIIR,10.69447062,0.3065751,0.817007651,2.62065288,ymin+(ymax-ymin)/(1.0+(x/K)^n)
js_QacR,15.10292407,0.129020109,1.036520055,2.471422735,ymin+(ymax-ymin)/(1.0+(x/K)^n)
js2_IcaRA,11.16941158,0.428569891,0.487305747,1.620637173,ymin+(ymax-ymin)/(1.0+(x/K)^n)
js2_BetI,15.97890295,0.316172702,1.746205434,2.421897328,ymin+(ymax-ymin)/(1.0+(x/K)^n)
an0_AmeR,16.04594777,1.037044008,0.377192387,1.432032937,ymin+(ymax-ymin)/(1.0+(x/K)^n)
js2_LitR,18.09749561,0.291015685,0.202513104,1.697255275,ymin+(ymax-ymin)/(1.0+(x/K)^n)
